raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect,raga_audio_path
Raga Basant_48,Raga Basant Makhari,Traditional,0:34:27.800000,https://p.scdn.co/mp3-preview/24a5cec520488020a90398ecf78ecc7438b3046d?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Traditional\Raga Basant Makhari_Traditional.mp3
Raga Basant_49,Raga Basanti Kedar,C. R. Vyas,0:09:36.693000,https://p.scdn.co/mp3-preview/c4a3c5a68327963b7fa6d650157ecc43fab7fac5?cid=883d8de3b4fb48e9ab32028467324d90,,audio/C. R. Vyas\Raga Basanti Kedar_C. R. Vyas.mp3
Raga Basant_50,Raga Basant- Alaap,Bhimsen Joshi,0:02:20.760000,https://p.scdn.co/mp3-preview/d1397aa0631f1cd34948656cac13686adcf30913?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Bhimsen Joshi\Raga Basant- Alaap_Bhimsen Joshi.mp3
Raga Basant_51,Raga Basant - Bandish,Bhimsen Joshi,0:10:11.267000,https://p.scdn.co/mp3-preview/b72a7d93cb092bd3c7a98ba1ab8149a7bf9beeae?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Bhimsen Joshi\Raga Basant - Bandish_Bhimsen Joshi.mp3
Raga Basant_52,Raga Basant - Fagwa Brij Dekhan,Anjana Ghosal ‘PIU’,0:02:24.106000,https://p.scdn.co/mp3-preview/61fdef49ef071f0caa33f0334301872426cb7699?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Anjana Ghosal ‘PIU’\Raga Basant - Fagwa Brij Dekhan_Anjana Ghosal ‘PIU’.mp3
Raga Basant_53,Raga Basant Mukhari,Vishwa Mohan Bhatt,0:08:01.465000,https://p.scdn.co/mp3-preview/09932f4d1add120fb598446ff5d933e428d39d55?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Vishwa Mohan Bhatt\Raga Basant Mukhari_Vishwa Mohan Bhatt.mp3
Raga Basant_54,Raga Basant Bahar: Alap,Ramesh Khaladkar,0:04:50.507000,https://p.scdn.co/mp3-preview/5a8d4d6ec56384252b5c7ba7f86710ce740caf19?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Ramesh Khaladkar\Raga Basant Bahar: Alap_Ramesh Khaladkar.mp3
Raga Basant_55,Raga Basanta: Tintal,Gangubai Hangal,0:10:57.933000,https://p.scdn.co/mp3-preview/378633e7938e0da74a6202faafcd43d882d03eb0?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Gangubai Hangal\Raga Basanta: Tintal_Gangubai Hangal.mp3
Raga Basant_56,Raga Basant Mookhari (Slow & Fast Gat in Tintal 16 Beats),Ali Akbar Khan,0:13:21.360000,https://p.scdn.co/mp3-preview/ac1addea739df03686c66afbe8351dcc32a2b12c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Ali Akbar Khan\Raga Basant Mookhari (Slow & Fast Gat in Tintal 16 Beats)_Ali Akbar Khan.mp3
Raga Basant_57,Raga Basant - Vilambit,Gauri Pathare,0:18:23.110000,https://p.scdn.co/mp3-preview/947928b0c0ea3b3fa03b4da138043d86e00fb097?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Gauri Pathare\Raga Basant - Vilambit_Gauri Pathare.mp3
Raga Basant_58,Raga Basant - Drut Ektal,Prabha Atre,0:20:38.893000,https://p.scdn.co/mp3-preview/5853c76ee59fba8ef57ddfc26b4ae273c767aeea?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Prabha Atre\Raga Basant - Drut Ektal_Prabha Atre.mp3
Raga Basant_59,Bliss in Spring - Raga Basant,Shivkumar Sharma,0:08:03.200000,https://p.scdn.co/mp3-preview/ce5c757e7f9594e44a723ba86449e3036efb868f?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Shivkumar Sharma\Bliss in Spring - Raga Basant_Shivkumar Sharma.mp3
Raga Basant_60,Raga Basant: Derna Derna Tana Dere Na,Padma Talwalkar,0:06:00.093000,https://p.scdn.co/mp3-preview/9726b4aad392291d2170abae2e8d85ac3d88a5f9?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Padma Talwalkar\Raga Basant: Derna Derna Tana Dere Na_Padma Talwalkar.mp3
Raga Basant_61,Raga Basant Mukhari Alap,Mita Nag,0:25:16.160000,https://p.scdn.co/mp3-preview/50239b9db0569bcde877bcd91cbb6f8a66d8031f?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Mita Nag\Raga Basant Mukhari Alap_Mita Nag.mp3
Raga Basant_62,Raga Basant - Drut Ektaal,Gauri Pathare,0:06:00.840000,https://p.scdn.co/mp3-preview/ff2209706ccaa1156c8541ba89aeb380f3a79d3d?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Gauri Pathare\Raga Basant - Drut Ektaal_Gauri Pathare.mp3
Raga Basant_63,Temple Song in Raga Basant,Bhattacharya,0:06:23.053000,https://p.scdn.co/mp3-preview/aba314ea0ce37aea891a108c3f3cd155bd959be3?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Bhattacharya\Temple Song in Raga Basant_Bhattacharya.mp3
Raga Basant_64,Temple Song in Raga Basant,Deben Bhattacharya,0:06:23.053000,https://p.scdn.co/mp3-preview/abb51332d2213dc8387ea3694b733db86c7147c6?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Deben Bhattacharya\Temple Song in Raga Basant_Deben Bhattacharya.mp3
Raga Basant_65,Raga Basant Mukhari: Alap,Partha Bose,0:19:07,https://p.scdn.co/mp3-preview/9ff8929122c7d0a37473363a989ec4b8992e8caf?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Partha Bose\Raga Basant Mukhari: Alap_Partha Bose.mp3
Raga Basant_66,Temple Song in Raga Basant,Deben Bhattacharya,0:06:23.053000,https://p.scdn.co/mp3-preview/e011da0d773c228222f6f1b30390fd9666175397?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Deben Bhattacharya\Temple Song in Raga Basant_Deben Bhattacharya.mp3
Raga Basant_67,Raga Basantmukhari - Alaap,Pt. Indranil Bhattacharya,0:27:46.093000,https://p.scdn.co/mp3-preview/94e8ef27c7cb4df94ca9a5aaaae9af4ebc1a19e5?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Pt. Indranil Bhattacharya\Raga Basantmukhari - Alaap_Pt. Indranil Bhattacharya.mp3
