raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Ahir Bhairav_36,"Raga ahir bhairav : vilambit khyal, tala ektal, drut khyal en tîntal",Lakshmi Shankar,0:20:52.760000,https://p.scdn.co/mp3-preview/894386aee3933ba01d47b868128a1b147e9a2a2d?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_37,"Alaap, Jor, Jhala Vilambit Matta Taal - Drut Teen Taal - Raga Ahir Bhairav",Rupak Kulkarni,0:45:09.836000,https://p.scdn.co/mp3-preview/213841e004158ff72763f12e741d09a1fc1731bf?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_38,Raga Ahir Bhairav - 2,Jonathan Mayer,0:02:55.933000,https://p.scdn.co/mp3-preview/3a1fa8d773d3d7ec19ed600457c067d6c5bdffaf?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_39,Raga Ahir Bhairav,Shantanu Chakraborty,0:10:45.760000,https://p.scdn.co/mp3-preview/a6dcedc6b5bd1cbdaccff0037335773b8530d578?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_40,Raga Ahir Bhairav,Nadiyon,0:04:37.927000,https://p.scdn.co/mp3-preview/860758f4be999b991fab0a738ffbfd025ae4c5ca?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_41,Raga Ahir Bhairav,Shruti Sadolikar,0:15:27.079000,https://p.scdn.co/mp3-preview/cf486c44ee6c36d848e60c8af22de400f63e45df?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_42,Raga Ahir bhairav,Balshree K Rohan Naidu,0:41:11.522000,https://p.scdn.co/mp3-preview/4500a02ac59de7be4316f6c70f2867f17fda7e7e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_43,Raga Ahir Bhairav,Sultan Khan,0:31:07.013000,https://p.scdn.co/mp3-preview/8180f8c12e3f9ecd1600093acf472a918bd93106?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_44,Raga Ahir Bhairav,Sultan Khan,0:31:08,https://p.scdn.co/mp3-preview/24f17c691d12794f9fe4299bd0356e2674aa9ddd?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_45,Raga Ahir Bhairav,Kishori Amonkar,0:30:18.400000,https://p.scdn.co/mp3-preview/98373e5fa7f81215e775c8f2f69f212e2175e37b?cid=883d8de3b4fb48e9ab32028467324d90,
