raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Yaman_53,Raga Yaman,Shubha Mudgal,33:04.8,https://p.scdn.co/mp3-preview/d0f8602a0594e9b0757e7519c28de28acc7ef65a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_54,Raga Yaman (Tarana),Rashid Khan,10:01.0,https://p.scdn.co/mp3-preview/98600e808d5e9bdd677907caa8dec46ff9d23c64?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_55,Raga Yaman,Clem Alford,04:08.4,https://p.scdn.co/mp3-preview/a7dea3cb6b465bac0daaff7e8f2034740740ce70?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_56,Raga- Manj Khamaj,Ravi Shankar,51:00.6,https://p.scdn.co/mp3-preview/a6178ee0b33c52cbf22b15b15d24ee2b29864d85?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_57,Raga Yaman,Pandit Janardan Mitta,04:32.2,https://p.scdn.co/mp3-preview/fe4b19bd788863258580949e8d2618393141ed81?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_58,Yaman,Bapu Padmanabha,02:17.3,https://p.scdn.co/mp3-preview/2dc0c911eb2218770201fbd6f526daaa40c1347d?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_59,Raga Yaman Kalyan,Bhimsen Joshi,42:14.0,https://p.scdn.co/mp3-preview/0d95a8796e176633e4bda4e22bf9f23654a9b590?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_60,Raga Yaman,Ustad Muhammad Dabir Khan,07:18.3,https://p.scdn.co/mp3-preview/6aeea03ba7cd549195845f532cdb1a5d9ec2fedb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_61,Yaman,Bapu Padmanabha,03:24.0,https://p.scdn.co/mp3-preview/bec5185253de8f7760c98b70a2ace671c6a91b9e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_62,Raga Shahana Bahar - Joy,Various Artists,10:51.7,https://p.scdn.co/mp3-preview/203da933a5d64c62d944a305bfb3f0fff5b3b40b?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_63,Raga Yaman,Joel Veena,19:44.7,https://p.scdn.co/mp3-preview/b7d56022e84f6c37aa078e5ae00b21c5eefa680b?cid=883d8de3b4fb48e9ab32028467324d90,
